code;secteur;sous_secteur;nom;metropole;outre_mer
AGRI-EQ-101;AGRI;EQ;Module d’intégration de température installé sur un ordinateur climatique;1;1
AGRI-EQ-102;AGRI;EQ;Double écran thermique;1;1
AGRI-EQ-104;AGRI;EQ;Ecrans thermiques latéraux;1;1
AGRI-EQ-105;AGRI;EQ;Stop & Start pour véhicules agricoles à moteur;1;1
AGRI-EQ-107;AGRI;EQ;Isolation des parois de serre;1;1
AGRI-EQ-108;AGRI;EQ;Stockage d’eau pour une serre bioclimatique;1;1
AGRI-EQ-109;AGRI;EQ;Couverture performante de serre;1;1
AGRI-EQ-110;AGRI;EQ;Séchage solaire par insufflation des produits et co-produits agricoles et forestiers utilisant des panneaux solaires hybrides;1;1
AGRI-EQ-111;AGRI;EQ;Simple écran thermique;1;1
AGRI-SE-101;AGRI;SE;Contrôle et préconisations de réglage du moteur d’un tracteur;1;1
AGRI-TH-101;AGRI;TH;Dispositif de stockage d’eau chaude de type « Open Buffer »;1;1
AGRI-TH-102;AGRI;TH;Dispositif de stockage d’eau chaude;1;1
AGRI-TH-103;AGRI;TH;Pré-refroidisseur de lait;1;1
AGRI-TH-104;AGRI;TH;Système de récupération de chaleur sur un groupe de production de froid hors tanks à lait;1;1
AGRI-TH-105;AGRI;TH;Récupérateur de chaleur sur tank à lait;1;1
AGRI-TH-108;AGRI;TH;Pompe à chaleur de type air/eau ou eau/eau;1;1
AGRI-TH-109;AGRI;TH;Récupérateur de chaleur à condensation pour serres horticoles;1;1
AGRI-TH-110;AGRI;TH;Chaudière à haute performance énergétique pour serres horticoles;1;1
AGRI-TH-113;AGRI;TH;Échangeur récupérateur de chaleur air/air dans un bâtiment d’élevage de volailles;1;1
AGRI-TH-116;AGRI;TH;Récupération de chaleur fatale issue d’un procédé industriel pour le chauffage d’une serre ou d’un bâtiment d’élevage;1;1
AGRI-TH-117;AGRI;TH;Déshumidificateur thermodynamique pour serres;1;1
AGRI-TH-118;AGRI;TH;Double tube de chauffage pour serres;1;1
AGRI-TH-119;AGRI;TH;Système de déshumidification avec air extérieur;1;1
AGRI-UT-101;AGRI;UT;Moto-variateur synchrone à aimants permanents ou à reluctance;1;1
AGRI-UT-102;AGRI;UT;Système de variation électronique de vitesse sur un moteur asynchrone;1;1
AGRI-UT-103;AGRI;UT;Système de régulation sur un groupe de production de froid permettant d’avoir une basse pression flottante;1;1
AGRI-UT-104;AGRI;UT;Système de régulation sur un groupe de production de froid permettant d’avoir une haute pression flottante;1;1
BAR-EN-101;BAR;EN;Isolation de combles ou de toitures;1;0
BAR-EN-102;BAR;EN;Isolation des murs;1;0
BAR-EN-103;BAR;EN;Isolation d’un plancher;1;1
BAR-EN-104;BAR;EN;Fenêtre ou porte-fenêtre complète avec vitrage isolant;1;1
BAR-EN-105;BAR;EN;Isolation des toitures terrasses;1;1
BAR-EN-106;BAR;EN;Isolation de combles ou de toitures (France d’outre-mer);0;1
BAR-EN-107;BAR;EN;Isolation des murs (France d’outre-mer);0;1
BAR-EN-108;BAR;EN;Fermeture isolante;1;1
BAR-EN-109;BAR;EN;Réduction des apports solaires par la toiture (France d'outre-mer);0;1
BAR-EN-110;BAR;EN;Fenêtre ou porte-fenêtre complète avec vitrage pariétodynamique;1;1
BAR-EQ-101;BAR;EQ;Lampe fluo-compacte de classe A;1;1
BAR-EQ-102;BAR;EQ;Lave-linge ménager de classe A++ ou A+++;1;1
BAR-EQ-103;BAR;EQ;Appareil de réfrigération ménager de classe A++ ou A+++;1;1
BAR-EQ-110;BAR;EQ;Luminaire à modules LED avec dispositif de contrôle pour les parties communes;1;1
BAR-EQ-111;BAR;EQ;"Lampe à LED de classe A+ (< 01/10/2017)
Lampe de classe A++
(> 01/10/2017)";1;1
BAR-EQ-112;BAR;EQ;Systèmes hydroéconomes (France métropolitaine);1;0
BAR-EQ-113;BAR;EQ;Dispositif d’affichage et d’interprétation des consommations pour un logement chauffé à l’électricité;1;1
BAR-EQ-114;BAR;EQ;Dispositif d’affichage et d’interprétation des consommations d’énergie pour un logement chauffé au combustible;1;1
BAR-EQ-115;BAR;EQ;Dispositif d’affichage et d’interprétation des consommations d’énergie;1;1
BAR-SE-104;BAR;SE;Réglage des organes d’équilibrage d’une installation de chauffage à eau chaude;1;1
BAR-SE-105;BAR;SE;Contrat de Performance Energétique Services (CPE Services);1;1
BAR-SE-106;BAR;SE;Service de suivi des consommations d’énergie;1;1
BAR-SE-107;BAR;SE;Abaissement de la température de retour vers un réseau de chaleur;1;0
BAR-SE-108;BAR;SE;Désembouage d’un réseau hydraulique individuel de chauffage en France métropolitaine;1;0
BAR-SE-109;BAR;SE;Désembouage d’un réseau hydraulique de chauffage collectif en France métropolitaine;1;0
BAR-TH-101;BAR;TH;Chauffe-eau solaire individuel (France métropolitaine);1;0
BAR-TH-102;BAR;TH;Chauffe-eau solaire collectif (France métropolitaine);1;0
BAR-TH-104;BAR;TH;Pompe à chaleur de type air/eau ou eau/eau;1;1
BAR-TH-106;BAR;TH;Chaudière individuelle à haute performance énergétique;1;1
BAR-TH-107;BAR;TH;Chaudière collective haute performance énergétique;1;1
BAR-TH-107-SE;BAR;TH;Chaudière collective haute performance énergétique avec contrat assurant la conduite de l’installation;1;1
