id;fiche;version;date_engagement_min;date_engagement_max
AGRI-EQ-101v14;AGRI-EQ-101;A14;01/01/2015;
AGRI-EQ-102v14;AGRI-EQ-102;A14;01/01/2015;
AGRI-EQ-104v14;AGRI-EQ-104;A14;01/01/2015;31/12/2024
AGRI-EQ-104v62;AGRI-EQ-104;A62;01/01/2025;
AGRI-EQ-105v28;AGRI-EQ-105;A28;19/12/2018;
AGRI-EQ-107v38;AGRI-EQ-107;A38;31/07/2021;
AGRI-EQ-108v38;AGRI-EQ-108;A38;31/07/2021;31/01/2024
AGRI-EQ-108v58;AGRI-EQ-108;A58;01/02/2024;31/12/2028
AGRI-EQ-109v38;AGRI-EQ-109;A38;31/07/2021;31/01/2024
AGRI-EQ-109v58;AGRI-EQ-109;A58;01/02/2024;31/12/2028
AGRI-EQ-110v38;AGRI-EQ-110;A38;31/07/2021;
AGRI-EQ-111v62;AGRI-EQ-111;A62;31/08/2024;
AGRI-SE-101v19;AGRI-SE-101;A19;04/01/2016;31/03/2022
AGRI-SE-101v40;AGRI-SE-101;A40;01/04/2022;
AGRI-TH-101v14;AGRI-TH-101;A14;01/01/2015;31/12/2024
AGRI-TH-102v14;AGRI-TH-102;A14;01/01/2015;
AGRI-TH-101v62;AGRI-TH-101;A62;01/01/2025;
AGRI-TH-103v15;AGRI-TH-103;A15;01/01/2015;
AGRI-TH-104v16;AGRI-TH-104;A16;01/01/2015;31/03/2018
AGRI-TH-104v27;AGRI-TH-104;A27;01/04/2018;30/09/2020
AGRI-TH-104v35;AGRI-TH-104;A35;01/10/2020;
AGRI-TH-105v16;AGRI-TH-105;A16;01/01/2015;
AGRI-TH-108v15;AGRI-TH-108;A15;01/01/2015;30/09/2020
AGRI-TH-108v35;AGRI-TH-108;A35;01/10/2020;
AGRI-TH-109v14;AGRI-TH-109;A14;01/01/2015;31/12/2023
AGRI-TH-109v54;AGRI-TH-109;A54;01/01/2024;30/06/2028
AGRI-TH-110v14;AGRI-TH-110;A14;01/01/2015;30/09/2020
AGRI-TH-110v35;AGRI-TH-110;A35;01/10/2020;31/12/2023
AGRI-TH-110v54;AGRI-TH-110;A54;01/01/2024;30/06/2028
AGRI-TH-113v14;AGRI-TH-113;A14;01/01/2015;
AGRI-TH-116v17;AGRI-TH-116;A17;01/01/2015;
AGRI-TH-117v14;AGRI-TH-117;A14;01/01/2015;
AGRI-TH-118v14;AGRI-TH-118;A14;01/01/2015;
AGRI-TH-119v28;AGRI-TH-119;A28;19/12/2018;
AGRI-UT-101v15;AGRI-UT-101;A15;01/01/2015;22/12/2016
AGRI-UT-101v24;AGRI-UT-101;A24;23/12/2016;
AGRI-UT-102v14;AGRI-UT-102;A14;01/01/2015;31/05/2016
AGRI-UT-102v22;AGRI-UT-102;A22;01/06/2016;
AGRI-UT-103v19;AGRI-UT-103;A19;04/01/2016;
AGRI-UT-104v23;AGRI-UT-104;A23;01/01/2015;
BAR-EN-101v14;BAR-EN-101;A14;01/01/2015;31/03/2018
BAR-EN-101v27;BAR-EN-101;A27;01/04/2018;31/08/2020
BAR-EN-101v33;BAR-EN-101;A33;01/09/2020;30/04/2022
BAR-EN-101v39;BAR-EN-101;A39;01/05/2022;31/12/2023
BAR-EN-101v54;BAR-EN-101;A54;01/01/2024;31/12/2024
BAR-EN-101v64;BAR-EN-101;A64;01/01/2025;
BAR-EN-102v14;BAR-EN-102;A14;01/01/2015;30/04/2022
BAR-EN-102v39;BAR-EN-102;A39;01/05/2022;31/12/2024
BAR-EN-102v64;BAR-EN-102;A64;01/01/2025;
BAR-EN-103v14;BAR-EN-103;A14;01/01/2015;31/03/2019
BAR-EN-103v29;BAR-EN-103;A29;01/04/2019;31/08/2020
BAR-EN-103v33;BAR-EN-103;A33;01/09/2020;11/10/2020
BAR-EN-103v36;BAR-EN-103;A36;12/10/2020;30/04/2022
BAR-EN-103v39;BAR-EN-103;A39;01/05/2022;31/12/2024
BAR-EN-103v64;BAR-EN-103;A64;01/01/2025;
BAR-EN-104v14;BAR-EN-104;A14;01/01/2015;31/12/2023
BAR-EN-104v54;BAR-EN-104;A54;01/01/2024;30/06/2028
BAR-EN-105v14;BAR-EN-105;A14;01/01/2015;31/03/2021
BAR-EN-105v37;BAR-EN-105;A37;01/04/2021;30/04/2022
BAR-EN-105v39;BAR-EN-105;A39;01/05/2022;31/12/2024
BAR-EN-105v64;BAR-EN-105;A64;01/01/2025;
BAR-EN-106v15;BAR-EN-106;A15;01/01/2015;04/10/2015
BAR-EN-106v18;BAR-EN-106;A18;05/10/2015;12/03/2016
